Code,Name,Structure type,Category,Description
A,Abilities,Category,Abilities,Innate and developed aptitudes that facilitate the acquisition of knowledge and skills to carry out expected work.
A01,Cognitive Abilities,Sub-Category,Abilities,Abilities that influence the acquisition and application of knowledge in performing various mental processes at work.
A01a,Idea Generation and Reasoning Abilities,Similarity Group,Abilities,
A01a01,Information Ordering,Descriptor,Abilities,"The ability to arrange things or actions in a certain order or pattern according to a specific rule or set of rules (e.g., patterns of numbers, letters, words, pictures, mathematical operations). This descriptor is measured by proficiency level level on a scale of 1-5"
A01a02,Categorization Flexibility,Descriptor,Abilities,The ability to generate or use different sets of rules for combining or grouping things in different ways. This descriptor is measured by proficiency level level on a scale of 1-5
A01a03,Deductive Reasoning,Descriptor,Abilities,The ability to apply general rules to produce logical answers for specific problems. This descriptor is measured by proficiency level level on a scale of 1-5
A01a04,Inductive Reasoning,Descriptor,Abilities,"The ability to combine pieces of information to form general rules or conclusions, which includes finding a relationship among seemingly unrelated events. This descriptor is measured by proficiency level level on a scale of 1-5"
A01a05,Fluency of Ideas,Descriptor,Abilities,The ability to come up with multiple ideas about a topic. This descriptor is measured by proficiency level level on a scale of 1-5
A01a06,Problem Identification,Descriptor,Abilities,"The ability to identify an existing or potential problem. It is not about solving the problem, but only about recognizing its presence. This descriptor is measured by proficiency level level on a scale of 1-5"
A01b,Quantitative Abilities,Similarity Group,Abilities,
A01b01,Numerical Ability,Descriptor,Abilities,"The ability to carry out arithmetical processes accurately such as addition, subtraction, multiplication or division. This descriptor is measured by proficiency level level on a scale of 1-5"
A01b02,Mathematical Reasoning,Descriptor,Abilities,The ability to choose the right mathematical methods or formulas to solve a problem. This descriptor is measured by proficiency level level on a scale of 1-5
A01c,Memory Abilities,Similarity Group,Abilities,
A01c01,Memorizing,Descriptor,Abilities,"The ability to remember information such as words, numbers, pictures, or procedures. This descriptor is measured by proficiency level level on a scale of 1-5"
A01c02,Multitasking,Descriptor,Abilities,"The ability to shift back and forth between two or more activities or sources of information during the same time period (such as speech, sounds, touch, or other sources). This descriptor is measured by proficiency level level on a scale of 1-5"
A01c03,Pattern Identification,Descriptor,Abilities,"The ability to identify or detect a known pattern such as a figure, object, word, or sound that is hidden in other information or material. This descriptor is measured by proficiency level level on a scale of 1-5"
A01c04,Pattern Organization Speed,Descriptor,Abilities,The ability to quickly combine and organize information into meaningful patterns. This descriptor is measured by proficiency level level on a scale of 1-5
A01c05,Perceptual Speed,Descriptor,Abilities,"The ability to compare, quickly and accurately, similarities and differences among sets of letters, numbers, objects, pictures, or patterns. The things to be compared may be presented at the same time, one after the other, or with a remembered object. This descriptor is measured by proficiency level level on a scale of 1-5"
A01d,Spacial Abilities,Similarity Group,Abilities,
