item_name,average_rating,std_dev,range
Analyzing Data or Information,4.0,0.0,4 - 4
Applying New Knowledge,3.0,0.67,2 - 4
Artistic Designing,3.2,1.03,2 - 4
Assisting and Caring for Others,2.0,0.0,2 - 2
Calculating,4.2,0.79,3 - 5
Catering,2.3,0.48,2 - 3
Change Management,2.6,0.52,2 - 3
Clerical Activities,4.0,0.0,4 - 4
Coaching and Developing Others,2.5,0.53,2 - 3
Communicating with Coworkers,2.5,0.53,2 - 3
Communicating with Persons Outside Organization,3.1,0.74,2 - 4
Comparing,3.5,0.53,3 - 4
Constructing,2.5,0.53,2 - 3
Controlling Machines and Processes,3.2,0.42,3 - 4
Coordinating,2.6,0.52,2 - 3
Coordinating the Work and Activities of Others,2.5,0.53,2 - 3
Crisis Management,2.7,0.82,2 - 4
Critical Thinking,2.5,0.53,2 - 3
Cross-Cultural Sensitivity,2.1,0.74,1 - 3
Debugging and Reprogramming,3.4,0.52,3 - 4
Decision Making,3.4,0.52,3 - 4
Developing Objectives and Strategies,3.0,0.94,2 - 4
Developing Technical Instructions,3.5,0.53,3 - 4
Digital Literacy,2.6,0.52,2 - 3
Digital Production,3.6,0.52,3 - 4
Document Use,3.5,0.53,3 - 4
Electronic Maintenance,2.9,0.32,2 - 3
Equipment and Tool Selection,3.2,0.42,3 - 4
Establishing and Maintaining Interpersonal Relationships,1.9,0.57,1 - 3
Estimating the Quantifiable Characteristics,3.3,0.48,3 - 4
Evaluating Information to Determine Compliance,3.5,0.53,3 - 4
Evaluation,3.2,0.42,3 - 4
Examining and Diagnosing,2.7,0.48,2 - 3
Facilitating Group Discussion,2.5,0.53,2 - 3
Getting Information,4.2,0.42,4 - 5
Handling and Moving Objects,2.7,0.67,2 - 4
"Identifying Objects, Actions, and Events",4.1,0.32,4 - 5
Information Synthesis,3.8,0.63,3 - 5
"Inspecting Equipment, Structures, or Material",3.1,0.32,3 - 4
Instructing,2.9,0.32,2 - 3
Interacting with Computers,3.1,0.57,2 - 4
Interpreting the Meaning of Information for Others,3.4,0.7,2 - 4
Interviewing,2.7,0.48,2 - 3
Judging Quality,2.7,0.48,2 - 3
Learning and Teaching Strategies,2.8,0.79,2 - 4
Making Decisions,3.3,0.48,3 - 4
Management of Financial Resources,2.9,0.57,2 - 4
Management of Material Resources,3.1,0.32,3 - 4
Management of Personnel Resources,3.0,0.47,2 - 4
Managing Conversation,3.3,0.48,3 - 4
Managing Resources,3.0,0.0,3 - 3
Manipulating - Operating,2.6,0.7,2 - 4
Mechanical Maintenance,2.7,0.48,2 - 3
Monitoring,3.7,0.48,3 - 4
"Monitoring Processes, Materials, or Surroundings",3.6,0.52,3 - 4
Negotiating,2.5,0.53,2 - 3
Numeracy,3.2,0.63,2 - 4
"Operating Vehicles, Mechanized Devices, or Equipment",3.2,0.63,2 - 4
Operation Monitoring of Machinery and Equipment,3.6,0.52,3 - 4
Operation and Control,2.9,0.57,2 - 4
Operational Planning,3.2,0.42,3 - 4
Oral Communication: Active Listening,2.3,0.48,2 - 3
Oral Communication: Oral Comprehension,2.6,0.52,2 - 3
Oral Communication: Oral Expression,2.9,0.88,2 - 4
Performing General Physical Activities,1.6,0.84,1 - 3
Performing Janitorial Services,2.0,0.82,1 - 3
Performing for or Working Directly with the Public,2.3,0.48,2 - 3
Persuading,2.5,0.53,2 - 3
Planning and Organizing,3.3,0.48,3 - 4
Preventative Maintenance,3.3,0.48,3 - 4
Problem Solving,3.3,0.48,3 - 4
Processing Information,4.0,0.47,3 - 5
Product Design,3.2,0.79,2 - 4
Projecting Outcomes,3.5,0.53,3 - 4
Protecting and Enforcing,2.7,0.48,2 - 3
Providing Consultation and Advice,3.0,0.67,2 - 4
Quality Control Testing,3.5,0.53,3 - 4
Reading Comprehension,3.4,0.84,2 - 4
Repairing,2.7,0.48,2 - 3
Requirements Analysis,3.5,0.53,3 - 4
Researching and Investigating,3.7,0.48,3 - 4
Resolving Conflicts and Negotiating with Others,2.5,0.53,2 - 3
Risk Management,3.2,0.42,3 - 4
Scheduling Work and Activities,3.8,0.42,3 - 4
Selling or Influencing Others,2.5,0.53,2 - 3
Setting Up,2.7,0.48,2 - 3
Social Perceptiveness,2.3,0.48,2 - 3
Sorting,3.9,1.2,2 - 5
Staffing,3.4,0.52,3 - 4
Strategic Planning,2.7,0.67,2 - 4
Supervising Subordinates,2.4,0.52,2 - 3
Systems Analysis,3.1,0.32,3 - 4
Team Building,2.3,0.48,2 - 3
Thinking Creatively,3.0,0.94,2 - 4
Time Management,2.9,0.74,2 - 4
Training and Teaching,3.2,0.42,3 - 4
Troubleshooting,3.2,0.42,3 - 4
Writing,3.5,0.71,2 - 4
Writing or Composing,3.6,0.52,3 - 4
